date,open,high,low,close,volume,ticker,exchange,trade
2020-12-29,27090.86,27404.86,25898.79,27359.58,281.974164,BTC/USDT,Binance,1
2020-12-30,27385.02,28993.55,27385.02,28873.33,473.383663,BTC/USDT,Binance,1
2020-12-31,28879.64,29313.26,27901.0,28905.32,438.695879,BTC/USDT,Binance,1
2021-01-01,28933.86,29611.51,28649.46,29305.29,298.357085,BTC/USDT,Binance,1
2021-01-02,29321.41,33271.38,28955.02,32162.01,667.482338,BTC/USDT,Binance,1
2021-01-03,32174.75,34776.59,31942.96,33031.74,701.951087,BTC/USDT,Binance,1
2021-01-04,33034.55,33593.47,27500.0,32005.27,987.279894,BTC/USDT,Binance,1
2021-01-05,31996.54,34392.59,29937.69,33946.09,765.314265,BTC/USDT,Binance,1
2021-01-06,33939.15,36935.58,33319.67,36756.07,864.714279,BTC/USDT,Binance,1
2021-01-07,36761.31,40358.96,35813.86,39444.65,770.127274,BTC/USDT,Binance,1
2021-01-08,39437.66,41958.85,36589.0,40597.2,967.349503,BTC/USDT,Binance,1
2021-01-09,40574.89,41371.87,38739.22,40090.54,484.910296,BTC/USDT,Binance,1
2021-01-10,40092.11,41330.71,35200.0,38182.97,740.145562,BTC/USDT,Binance,1
2021-01-11,38166.79,38288.44,30471.78,35438.75,1870.951319,BTC/USDT,Binance,1
2021-01-12,35438.75,36600.1,32600.0,34041.15,919.597427,BTC/USDT,Binance,1
2021-01-13,34044.28,37805.88,32403.05,37351.77,843.629073,BTC/USDT,Binance,1
2021-01-14,37329.13,40100.54,36766.07,39175.88,407.515497,BTC/USDT,Binance,1
2021-01-15,39138.66,39723.34,34444.39,36732.12,554.127909,BTC/USDT,Binance,1
2021-01-16,36734.73,37948.26,35350.0,35982.21,385.981721,BTC/USDT,Binance,1
2021-01-17,35982.2,36842.5,33859.11,35826.78,308.508956,BTC/USDT,Binance,1
2021-01-18,35841.98,37469.87,34787.46,36627.61,329.067462,BTC/USDT,Binance,1
2021-01-19,36624.79,37848.91,35874.74,35926.59,340.565257,BTC/USDT,Binance,1
2021-01-20,35867.39,36398.16,33351.36,35484.17,525.9541,BTC/USDT,Binance,1
2021-01-21,35464.08,35604.47,30191.0,30748.54,895.465664,BTC/USDT,Binance,1
2021-01-22,30873.21,33827.83,29000.0,33045.55,870.318427,BTC/USDT,Binance,1
2021-01-23,32941.38,33451.56,31400.0,32110.3,210.849721,BTC/USDT,Binance,1
2021-01-24,32064.71,33073.47,30895.25,32276.8,181.797634,BTC/USDT,Binance,1
2021-01-25,32276.46,34860.0,31937.89,32222.22,275.094619,BTC/USDT,Binance,1
2021-01-26,32218.2,32920.0,30831.41,32457.97,247.095624,BTC/USDT,Binance,1
2021-01-27,32493.78,32555.7,29250.0,30356.27,301.390318,BTC/USDT,Binance,1
2021-01-28,30351.17,33780.5,29858.1,33311.17,286.030946,BTC/USDT,Binance,1
2021-01-29,33372.95,38539.39,31929.72,34242.42,987.916825,BTC/USDT,Binance,1
2021-01-30,34282.21,34929.32,32835.91,34240.95,310.242049,BTC/USDT,Binance,1
2021-01-31,34240.99,34334.27,32166.67,33071.34,190.641978,BTC/USDT,Binance,1
2021-02-01,33097.72,34700.0,32287.34,33545.56,215.258484,BTC/USDT,Binance,1
2021-02-02,33491.57,35976.92,33440.11,35505.83,251.941418,BTC/USDT,Binance,1
2021-02-03,35477.64,37652.5,35381.06,37633.27,499.415853,BTC/USDT,Binance,1
2021-02-04,37601.48,38696.53,36181.63,36961.45,794.377078,BTC/USDT,Binance,1
2021-02-05,36935.44,38344.42,36570.91,38306.68,400.513652,BTC/USDT,Binance,1
2021-02-06,38306.68,40958.13,38209.7,39220.16,271.93314,BTC/USDT,Binance,1
2021-02-07,39177.37,39680.56,37360.12,38789.4,365.480765,BTC/USDT,Binance,1
2021-02-08,38796.29,46788.25,38009.78,46386.93,589.688918,BTC/USDT,Binance,1
2021-02-09,46410.03,48123.7,45014.73,46468.4,557.381568,BTC/USDT,Binance,1
2021-02-10,46468.4,47300.0,43700.0,44871.28,477.334904,BTC/USDT,Binance,1
2021-02-11,44871.28,48710.45,43984.89,47961.49,334.624128,BTC/USDT,Binance,1
